,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0,4's,6's
1956,I Mansaray (SLE),2021-2021,4,3,1,8,5*,4.00,24,33.33,0,0,0,0,0
1957,BAW Mendis (SL),2008-2014,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0
1958,Mohammad Wasim (1) (PAK),2021-2022,11,3,2,8,5,8.00,10,80.00,0,0,0,1,0
1959,M Mooketsi (BOT),2019-2021,11,5,0,8,3,1.60,24,33.33,0,0,1,0,0
1960,Muhammad Safdar (BHR),2022-2022,2,1,1,8,8*,-,6,133.33,0,0,0,1,0
1961,A Nortje (SA),2019-2021,16,5,2,8,4*,2.66,20,40.00,0,0,1,0,0
1962,KJ Patel (SEY),2021-2021,6,3,3,8,8*,-,29,27.58,0,0,0,1,0
1963,WA Peatfield (GUE),2019-2022,13,3,1,8,7*,4.00,14,57.14,0,0,1,1,0
1964,Qais Ahmad (AFG),2020-2022,2,2,1,8,8,8.00,9,88.88,0,0,0,1,0
1965,CAK Rajitha (SL),2016-2019,10,4,2,8,5,4.00,23,34.78,0,0,1,0,0
1966,S Rengarajan (CZK-R),2020-2020,3,2,2,8,6*,-,15,53.33,0,0,0,0,0
1967,N Senamontree (THAI),2020-2020,4,4,1,8,4,2.66,23,34.78,0,0,1,0,0
1968,Shahadat Hossain (BAN),2006-2013,6,5,3,8,4*,4.00,12,66.66,0,0,1,0,0
1969,I Sharma (INDIA),2008-2013,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0
1970,Simranjit Singh (ITA),2019-2019,1,1,0,8,8,8.00,9,88.88,0,0,0,0,0
1971,L Sipamla (SA),2019-2021,9,2,1,8,8*,8.00,11,72.72,0,0,1,1,0
1972,BV Vitori (ZIM),2012-2016,11,2,2,8,7*,-,7,114.28,0,0,0,0,0
1973,Yasar Idrees (KUW),2019-2019,1,1,0,8,8,8.00,4,200.00,0,0,0,0,1
1974,Yasir Ali (BAN),2022-2022,1,1,0,8,8,8.00,7,114.28,0,0,0,1,0
1975,Al-Amin Hossain (BAN),2013-2020,31,6,4,7,5*,3.50,12,58.33,0,0,1,1,0
1976,RP Arnold (SL),2006-2006,1,1,0,7,7,7.00,7,100.00,0,0,0,0,0
1977,Arshad Mazarzei (Iran),2020-2020,3,3,0,7,5,2.33,40,17.50,0,0,0,1,0
1978,Ashraful Shuvo (EST),2021-2021,3,2,0,7,5,3.50,12,58.33,0,0,0,0,0
1979,NB Budayair (NEPAL),2014-2014,4,3,1,7,5,3.50,19,36.84,0,0,1,0,0
1980,MA Carberry (ENG),2014-2014,1,1,0,7,7,7.00,7,100.00,0,0,0,1,0
1981,PKD Chase (IRE),2018-2019,12,5,4,7,4,7.00,13,53.84,0,0,0,1,0
1982,DK Dahani (Iran),2020-2020,3,3,0,7,4,2.33,8,87.50,0,0,1,1,0
1983,DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7,7,7.00,10,70.00,0,0,0,1,0
1984,DC Delany (IRE),2019-2019,8,2,0,7,7,3.50,6,116.66,0,0,1,0,0
1985,MR Dorgan (SRB),2021-2021,3,2,1,7,4,7.00,15,46.66,0,0,0,0,0
1986,MD Garratt (GIBR),2019-2021,8,4,2,7,4,3.50,21,33.33,0,0,0,0,0
1987,V Hristov (BUL),2021-2021,3,2,0,7,5,3.50,11,63.63,0,0,0,0,0
1988,Iftekar Jaman (CYP),2021-2021,2,1,0,7,7,7.00,8,87.50,0,0,0,0,1
1989,I Kaia (ZIM),2021-2021,1,1,0,7,7,7.00,9,77.77,0,0,0,1,0
1990,Khaibar Deldar (HUN),2021-2021,4,3,0,7,5,2.33,10,70.00,0,0,1,1,0
1991,P Kumar (INDIA),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
1992,RAS Lakmal (SL),2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0
1993,M Leporoporo (LES),2021-2021,4,3,1,7,5,3.50,14,50.00,0,0,0,1,0
1994,ND McKenzie (SA),2006-2009,2,1,1,7,7*,-,8,87.50,0,0,0,0,0
1995,A Nao (PNG),2017-2022,3,3,2,7,7*,7.00,5,140.00,0,0,1,1,0
1996,Naveen-ul-Haq (AFG),2019-2021,13,2,1,7,5,7.00,7,100.00,0,0,0,1,0
1997,Nazwan Ismail (Mald),2019-2020,4,2,2,7,5*,-,10,70.00,0,0,0,0,0
1998,L Ngidi (SA),2017-2021,23,5,1,7,4,1.75,17,41.17,0,0,2,0,0
1999,J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0
2000,Omar Hayat (DEN),2019-2021,4,3,0,7,5,2.33,6,116.66,0,0,0,0,0
2001,AY Patel (NZ),2018-2021,7,2,0,7,4,3.50,14,50.00,0,0,0,0,0
2002,RB Patel (BUL),2020-2021,10,3,3,7,3*,-,14,50.00,0,0,0,0,0
2003,Qadeer Ahmed (UAE),2015-2019,10,4,3,7,5*,7.00,12,58.33,0,0,1,1,0
2004,Qasim Anwar (CYP),2021-2021,4,2,0,7,6,3.50,5,140.00,0,0,0,0,1
2005,LH Rodrigues (),2019-2019,4,3,2,7,4*,7.00,12,58.33,0,0,1,1,0
2006,GA Rogers (SCOT),2008-2009,2,2,2,7,6*,-,8,87.50,0,0,0,0,0
2007,E Schiferli (NED),2008-2010,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0
2008,JN Snape (ENG),2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0
2009,TJ Stephenson (Blz),2019-2021,4,1,1,7,7*,-,5,140.00,0,0,0,1,0
2010,Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140.00,0,0,0,0,1
2011,Sumair Khan (MLT),2019-2019,1,1,0,7,7,7.00,6,116.66,0,0,0,1,0
2012,Syed Rasel (BAN),2007-2008,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0
2013,Tanveer Ahmed (HKG),2016-2017,5,2,1,7,7*,7.00,11,63.63,0,0,1,1,0
2014,VL Mukesh (SEY),2021-2021,5,3,0,7,7,2.33,12,58.33,0,0,2,0,1
2015,Vichanath Singh (THAI),2019-2020,8,4,1,7,3*,2.33,18,38.88,0,0,0,0,0
2016,T Zotos (GRC),2021-2021,4,2,1,7,6,7.00,5,140.00,0,0,0,0,1
2017,Absar Khan (DEN),2021-2021,2,2,1,6,4*,6.00,9,66.66,0,0,0,0,0
2018,Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
2019,Aftab Hussain (HKG),2020-2020,9,2,2,6,5*,-,4,150.00,0,0,0,1,0
2020,MJ Ansell (IOM),2020-2021,5,1,0,6,6,6.00,7,85.71,0,0,0,1,0
2021,Azam Khan (PAK),2021-2021,3,2,1,6,5*,6.00,7,85.71,0,0,0,1,0
2022,DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.20,18,33.33,0,0,3,1,0
2023,DE Burgess (Samoa),2019-2019,4,4,0,6,3,1.50,12,50.00,0,0,2,0,0
2024,T Cross (EST),2021-2021,2,2,0,6,5,3.00,12,50.00,0,0,0,0,0
2025,RMS Eranga (SL),2012-2013,3,1,0,6,6,6.00,7,85.71,0,0,0,1,0
2026,L Evile (Samoa),2019-2019,4,1,0,6,6,6.00,7,85.71,0,0,0,1,0
2027,Faizan Mumtaz (NOR),2021-2021,3,3,0,6,4,2.00,15,40.00,0,0,1,0,0
2028,Haris Rauf (PAK),2020-2022,35,4,2,6,6,3.00,7,85.71,0,0,1,0,1
2029,NM Hauritz (AUS),2009-2009,3,2,0,6,4,3.00,10,60.00,0,0,0,1,0
2030,PJ Hughes (AUS),2014-2014,1,1,0,6,6,6.00,8,75.00,0,0,0,1,0
2031,Iqbal Hossain (Aut),2021-2021,3,1,0,6,6,6.00,3,200.00,0,0,0,0,1
2032,H Isorena (PHI),2022-2022,1,1,0,6,6,6.00,14,42.85,0,0,0,1,0
2033,ZR Jabeneke (TAN),2021-2021,3,1,1,6,6*,-,13,46.15,0,0,0,0,0
2034,Javed Ahmadi (AFG),2012-2017,3,2,0,6,6,3.00,7,85.71,0,0,1,1,0
2035,Jay Odedra (OMA),2019-2019,3,1,1,6,6*,-,6,100.00,0,0,0,0,0
2036,CBRLS Kumara (SL),2019-2022,19,5,3,6,4,3.00,6,100.00,0,0,1,1,0
2037,D Maisuria (BOT),2019-2021,10,3,2,6,6*,6.00,11,54.54,0,0,1,0,0
2038,Maqsood Ahmad (Belg),2021-2021,3,3,1,6,3,3.00,9,66.66,0,0,0,0,0
2039,I Master (BOT),2019-2019,2,2,0,6,4,3.00,8,75.00,0,0,0,1,0
2040,Z McLaughlin (Caym),2019-2019,3,2,2,6,4*,-,16,37.50,0,0,0,0,0
2041,KO Meth (ZIM),2012-2012,2,1,1,6,6*,-,6,100.00,0,0,0,0,0
2042,Mohammed Nadeem (QAT),2019-2021,26,6,5,6,3,6.00,10,60.00,0,0,0,0,0
2043,JK Mukhiya (NEPAL),2014-2022,10,3,2,6,5,6.00,12,50.00,0,0,0,0,0
2044,J Mulder (IRE),2016-2017,8,4,2,6,5*,3.00,11,54.54,0,0,1,0,0
2045,W Niyitanga (RWN),2021-2021,4,4,0,6,4,1.50,16,37.50,0,0,2,1,0
2046,A Orfila (GIBR),2019-2021,5,3,1,6,4*,3.00,13,46.15,0,0,1,0,0
2047,SR Rocket (SEY),2021-2021,6,3,0,6,5,2.00,13,46.15,0,0,1,1,0
2048,JA Rudolph (SA),2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
2049,Said Hakim (Belg),2021-2021,1,1,1,6,6*,-,12,50.00,0,0,0,0,0
2050,Shoaib Khan (GER),2022-2022,3,2,1,6,6*,6.00,6,100.00,0,0,1,0,0
2051,M Stoman (PORT),2021-2021,3,1,1,6,6*,-,1,600.00,0,0,0,0,1
2052,R Strydom (IRE),2008-2008,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0
2053,S Tarawally (SLE),2021-2021,6,2,1,6,4*,6.00,11,54.54,0,0,0,0,0
2054,Tauqeer Hussain (ESP),2019-2020,6,2,1,6,3*,6.00,10,60.00,0,0,0,0,0
2055,TG Thamae (LES),2021-2021,5,3,0,6,4,2.00,12,50.00,0,0,1,0,0
2056,TC Vine (ESP),2019-2022,11,1,1,6,6*,-,7,85.71,0,0,0,1,0
2057,ME Sanuth (OMA),2020-2020,1,1,0,5,5,5.00,7,71.42,0,0,0,0,0
2058,M Ansari (OMA),2015-2016,11,4,4,5,3*,-,10,50.00,0,0,0,0,0
2059,Asad Ali Rehemtulla (BUL),2020-2020,3,3,1,5,3,2.50,11,45.45,0,0,0,0,0
2060,MS Atapattu (SL),2006-2006,2,1,0,5,5,5.00,8,62.50,0,0,0,0,0
2061,Baz Aybui (SWE),2021-2021,4,1,1,5,5*,-,8,62.50,0,0,0,0,0
2062,JP Behrendorff (AUS),2017-2021,9,1,0,5,5,5.00,7,71.42,0,0,0,0,0
2063,A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0
2064,P Bhart (NOR),2019-2021,10,4,2,5,2*,2.50,25,20.00,0,0,1,0,0
2065,IG Butler (NZ),2009-2013,19,6,5,5,2*,5.00,10,50.00,0,0,0,0,0
2066,FE Carava (MOZ),2021-2021,2,2,0,5,4,2.50,10,50.00,0,0,0,0,0
2067,T Caruana (GIBR),2019-2019,2,1,0,5,5,5.00,13,38.46,0,0,0,0,0
2068,YS Chahal (INDIA),2016-2022,54,4,2,5,3*,2.50,11,45.45,0,0,0,0,0
2069,RD Chahar (INDIA),2019-2021,6,1,0,5,5,5.00,5,100.00,0,0,0,1,0
2070,Fayaz Mohammad (BUL),2020-2020,1,1,1,5,5*,-,2,250.00,0,0,0,1,0
2071,S Franklin (SUI),2021-2021,2,1,0,5,5,5.00,6,83.33,0,0,0,0,0
2072,Hasheem Shahzad (MLT),2019-2019,2,2,0,5,5,2.50,9,55.55,0,0,1,1,0
2073,Husnain Kabeer (GER),2021-2021,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
2074,Imran Ali (KUW),2019-2019,4,2,1,5,5*,5.00,6,83.33,0,0,1,0,0
2075,G Irvin (Bhm),2021-2021,2,2,1,5,4,5.00,17,29.41,0,0,0,1,0
2076,Ismail Sardar (THAI),2020-2020,2,2,0,5,3,2.50,16,31.25,0,0,0,0,0
2077,LP Kasturiarachchige (Aut),2021-2021,5,1,1,5,5*,-,3,166.66,0,0,0,1,0
2078,D Kegasitswe (BOT),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0
2079,Khawar Zafar (Saudi),2020-2020,2,1,0,5,5,5.00,3,166.66,0,0,0,1,0
2080,TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0
2081,VJ Kingma (NED),2016-2021,9,3,1,5,4,2.50,14,35.71,0,0,0,0,0
2082,A Krishna (SGP),2019-2020,7,3,1,5,4,2.50,4,125.00,0,0,1,1,0
2083,AM McCarthy (WI),2018-2018,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0
2084,GD McGrath (AUS),2005-2005,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0
2085,CS Martin (NZ),2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
2086,Mohammad Hasnain (PAK),2019-2021,18,6,5,5,4*,5.00,13,38.46,0,0,0,1,0
2087,Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
2088,A Morris (Caym),2019-2022,8,4,2,5,3*,2.50,17,29.41,0,0,1,0,0
2089,Muhammad Ansar (KUW),2020-2020,4,1,0,5,5,5.00,5,100.00,0,0,0,1,0
2090,GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0
2091,T Mupariwa (ZIM),2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0
2092,N M'shangwe (ZIM),2013-2014,5,2,1,5,5*,5.00,4,125.00,0,0,1,1,0
2093,M Mwamadi (MWI),2019-2021,9,3,3,5,3*,-,10,50.00,0,0,0,0,0
2094,MW Parkinson (ENG),2019-2021,4,2,0,5,5,2.50,6,83.33,0,0,1,1,0
2095,Parvez Rasool (INDIA),2017-2017,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
2096,D Paterson (SA),2017-2018,8,2,1,5,4*,5.00,2,250.00,0,0,0,1,0
2097,JL Pattinson (AUS),2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0
2098,JE Pitcher (BMUDA),2019-2019,3,1,1,5,5*,-,4,125.00,0,0,0,0,0
2099,AG Prince (SA),2005-2005,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
2100,RJ Ranpura (OMA),2015-2016,3,2,2,5,5*,-,8,62.50,0,0,0,0,0
2101,C Sakariya (INDIA),2021-2021,2,1,1,5,5*,-,9,55.55,0,0,0,0,0
2102,RJ Sidebottom (ENG),2007-2010,18,1,1,5,5*,-,4,125.00,0,0,0,1,0
2103,M Spry (Peru),2019-2019,4,2,1,5,3*,5.00,11,45.45,0,0,0,0,0
2104,R Telemachus (SA),2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0
2105,DR Tuffey (NZ),2005-2010,3,2,1,5,5*,5.00,5,100.00,0,0,1,1,0
2106,C Vorster (GUE),2019-2019,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0
2107,OJ Webster (IOM),2020-2020,1,1,0,5,5,5.00,7,71.42,0,0,0,1,0
2108,BTJ Wheal (SCOT),2016-2021,14,5,4,5,2*,5.00,8,62.50,0,0,1,0,0
2109,JB Abega (CAM),2021-2021,4,4,0,4,3,1.00,14,28.57,0,0,2,0,0
2110,Ali Abbas (Saudi),2020-2020,1,1,1,4,4*,-,4,100.00,0,0,0,0,0
2111,Ali Yalmaz (HUN),2021-2021,4,3,1,4,3,2.00,7,57.14,0,0,1,0,0
2112,TD Astle (NZ),2016-2021,5,2,0,4,3,2.00,10,40.00,0,0,0,0,0
2113,Baljit Singh (ITA),2019-2021,9,4,0,4,3,1.00,17,23.52,0,0,2,0,0
2114,NN Banner (Blz),2021-2021,2,2,1,4,4,4.00,8,50.00,0,0,0,0,0
2115,GJ Batty (ENG),2009-2009,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0
2116,P Bharat Patel (PNM),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0
2117,SR Bhudia (KENYA),2019-2019,4,3,1,4,3,2.00,16,25.00,0,0,1,0,0
2118,A Bishnoi (MLT),2021-2021,7,4,1,4,3*,1.33,8,50.00,0,0,2,0,0
2119,JAR Blain (SCOT),2007-2008,6,3,1,4,3*,2.00,5,80.00,0,0,1,0,0
2120,CJ Boyce (AUS),2014-2016,7,2,1,4,3,4.00,7,57.14,0,0,0,0,0
2121,C Brennan (JER),2021-2021,2,2,0,4,3,2.00,20,20.00,0,0,0,0,0
2122,PR Brown (ENG),2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
2123,Z Burgess (BMUDA),2021-2021,3,1,0,4,4,4.00,5,80.00,0,0,0,0,0
2124,K Burrows (Bhm),2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
2125,NM Carter (SCOT),2013-2013,7,2,0,4,3,2.00,12,33.33,0,0,0,0,0
2126,PC Connell (IRE),2008-2010,9,3,2,4,3*,4.00,7,57.14,0,0,1,0,0
2127,PA Desai (CAN),2012-2012,1,1,1,4,4*,-,7,57.14,0,0,0,0,0
2128,AB Dursak (TKY),2019-2019,4,4,0,4,3,1.00,24,16.66,0,0,2,0,0
2129,C Emmott (Chile),2019-2019,2,2,0,4,4,2.00,11,36.36,0,0,1,0,0
2130,Farhan Ahmed (UAE),2016-2016,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0
2131,Imran Haider (UAE),2016-2019,11,2,2,4,4*,-,8,50.00,0,0,0,0,0
2132,Junaid Khan (PORT),2021-2021,4,1,1,4,4*,-,1,400.00,0,0,0,1,0
2133,A Karn (NEPAL),2015-2015,2,1,0,4,4,4.00,7,57.14,0,0,0,0,0
2134,MF Koc (TKY),2019-2019,3,3,1,4,4*,2.00,17,23.52,0,0,2,0,0
2135,S Kubheka (),2021-2021,5,3,1,4,3,2.00,10,40.00,0,0,1,0,0
2136,C Kyewuta (UGA),2021-2022,5,1,1,4,4*,-,6,66.66,0,0,0,0,0
2137,CK Langeveldt (SA),2005-2010,9,3,2,4,2*,4.00,8,50.00,0,0,0,0,0
2138,NM Lyon (AUS),2016-2018,2,1,1,4,4*,-,4,100.00,0,0,0,0,0
2139,RT Lyons (SCOT),2010-2010,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0
2140,DE Martel (GUE),2022-2022,4,2,1,4,3*,4.00,8,50.00,0,0,0,0,0
2141,GE Mathurin (WI),2011-2012,3,2,2,4,3*,-,5,80.00,0,0,0,0,0
2142,AB Mengoumou (CAM),2021-2021,1,1,0,4,4,4.00,10,40.00,0,0,0,0,0
2143,Mohammad Irfan (PAK),2012-2019,22,4,4,4,2*,-,8,50.00,0,0,0,0,0
2144,Mohammad Tauqir (UAE),2015-2015,3,2,1,4,4,4.00,6,66.66,0,0,0,1,0
2145,Muhammad Khurram (MWI),2019-2019,5,3,0,4,3,1.33,20,20.00,0,0,1,0,0
2146,Muhammad Rafique (BHR),2019-2019,2,1,0,4,4,4.00,5,80.00,0,0,0,0,0
2147,JM Muirhead (AUS),2014-2014,5,2,1,4,3,4.00,8,50.00,0,0,0,0,0
2148,Mustafa Omer (Fran),2021-2021,1,1,0,4,4,4.00,11,36.36,0,0,0,0,0
2149,Nazmus Sadat (BAN),2006-2006,1,1,0,4,4,4.00,3,133.33,0,0,0,0,0
2150,JO Ngoche (KENYA),2012-2013,7,3,1,4,2,2.00,17,23.52,0,0,0,0,0
2151,SN Pathirana (CYP),2021-2021,4,2,0,4,4,2.00,9,44.44,0,0,1,0,0
2152,Qasim Zia (BHR),2019-2019,3,1,1,4,4*,-,1,400.00,0,0,0,1,0
2153,NJ Reardon (AUS),2014-2014,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
2154,T Shamsi (SA),2017-2021,47,9,6,4,2*,1.33,19,21.05,0,0,3,0,0
2155,CB Sole (SCOT),2017-2021,7,1,1,4,4*,-,2,200.00,0,0,0,1,0
2156,H Ssenyondo (UGA),2019-2022,26,4,2,4,2*,2.00,14,28.57,0,0,1,0,0
2157,ADL Stokoe (IOM),2021-2021,4,1,0,4,4,4.00,9,44.44,0,0,0,0,0
2158,Suhrid Roy (MLT),2019-2021,2,2,2,4,2*,-,7,57.14,0,0,0,0,0
2159,CR Suryawanshi (SGP),2019-2019,3,2,0,4,4,2.00,6,66.66,0,0,1,0,0
2160,K Suttisan (THAI),2019-2019,2,2,0,4,4,2.00,5,80.00,0,0,1,1,0
2161,SP Terry (IRE),2016-2016,1,1,0,4,4,4.00,6,66.66,0,0,0,0,0
2162,T Thushara (SL),2008-2010,6,2,0,4,3,2.00,8,50.00,0,0,0,0,0
2163,T Ulutuna (TKY),2019-2019,3,3,0,4,4,1.33,9,44.44,0,0,2,1,0
2164,SMK Waththage (CZK-R),2019-2021,10,2,1,4,3,4.00,12,33.33,0,0,0,0,0
2165,B White (IRE),2021-2021,9,3,3,4,2*,-,6,66.66,0,0,0,0,0
2166,LB Williams (SA),2021-2021,6,2,2,4,2*,-,7,57.14,0,0,0,0,0
2167,Abu Jayed (BAN),2018-2018,3,2,0,3,2,1.50,7,42.85,0,0,0,0,0
2168,GJ Agius (MLT),2019-2019,2,2,0,3,3,1.50,15,20.00,0,0,1,0,0
2169,Amir Hayat (UAE),2018-2019,4,2,0,3,3,1.50,6,50.00,0,0,1,0,0
2170,Amjad Mahboob (SGP),2019-2020,14,6,2,3,1*,0.75,14,21.42,0,0,2,0,0
2171,A Aspiotis (GRC),2019-2019,3,1,1,3,3*,-,4,75.00,0,0,0,0,0
2172,MC Bascombe (WI),2011-2011,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0
2173,Bashir Shah (DEN),2019-2021,9,4,3,3,1*,3.00,7,42.85,0,0,1,0,0
2174,JA Burrows (IOM),2020-2021,5,2,0,3,3,1.50,6,50.00,0,0,1,0,0
2175,S Byrne (MLT),2019-2019,2,2,0,3,3,1.50,9,33.33,0,0,1,0,0
2176,CL Cairns (NZ),2005-2006,2,2,0,3,2,1.50,13,23.07,0,0,0,0,0
2177,R Cunningham (GIBR),2021-2021,4,1,1,3,3*,-,4,75.00,0,0,0,0,0
2178,D de la Puente (Peru),2019-2019,2,2,1,3,2*,3.00,7,42.85,0,0,0,0,0
2179,ST de Silva (SL),2017-2017,3,2,0,3,3,1.50,7,42.85,0,0,1,0,0
2180,S Desungnoen (THAI),2020-2020,2,2,2,3,2*,-,5,60.00,0,0,0,0,0
2181,N Dhamba (OMA),2022-2022,1,1,0,3,3,3.00,6,50.00,0,0,0,0,0
2182,JA Duffy (NZ),2020-2021,4,1,0,3,3,3.00,5,60.00,0,0,0,0,0
2183,Fahad Ali (),2019-2019,3,3,0,3,2,1.00,14,21.42,0,0,1,0,0
2184,M Faheem (THAI),2019-2020,7,3,0,3,2,1.00,7,42.85,0,0,1,0,0
2185,Fawad Ahmed (AUS),2013-2013,2,1,1,3,3*,-,5,60.00,0,0,0,0,0
2186,Fida Hussain (ITA),2019-2019,2,1,1,3,3*,-,4,75.00,0,0,0,0,0
2187,M Fontaine (HUN),2021-2021,1,1,0,3,3,3.00,3,100.00,0,0,0,0,0
2188,WT Gavera (PNG),2015-2017,6,2,0,3,2,1.50,6,50.00,0,0,0,0,0
2189,JOA Gordon (CAN),2013-2019,7,2,2,3,2*,-,6,50.00,0,0,0,0,0
2190,AM Guruge (UAE),2014-2015,5,3,2,3,1*,3.00,8,37.50,0,0,0,0,0
2191,Javed Maroofkhail (NOR),2019-2019,2,1,0,3,3,3.00,8,37.50,0,0,0,0,0
2192,Junaid Khan (PAK),2011-2014,9,2,2,3,3*,-,4,75.00,0,0,0,0,0
2193,MS Kasprowicz (AUS),2005-2005,2,1,1,3,3*,-,5,60.00,0,0,0,0,0
2194,GJP Kruger (SA),2006-2006,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
2195,BLCS Kumara (CYP),2021-2021,2,2,0,3,3,1.50,7,42.85,0,0,1,0,0
2196,Mahmad Data (PNM),2019-2019,2,1,0,3,3,3.00,5,60.00,0,0,0,0,0
2197,Nazmul Hossain (BAN),2009-2012,4,2,2,3,3*,-,15,20.00,0,0,0,0,0
2198,R Olipa (UGA),2019-2019,2,1,0,3,3,3.00,4,75.00,0,0,0,0,0
2199,M Patel (PNM),2019-2019,2,1,1,3,3*,-,6,50.00,0,0,0,0,0
2200,LN Rajbanshi (NEPAL),2018-2019,12,2,1,3,3,3.00,7,42.85,0,0,0,0,0
2201,KAJ Roach (WI),2008-2012,11,1,1,3,3*,-,2,150.00,0,0,0,0,0
2202,M Sarenac (SRB),2019-2021,6,3,0,3,1,1.00,9,33.33,0,0,0,0,0
2203,MM Sharma (INDIA),2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0
2204,K Sinclair (WI),2021-2021,6,2,1,3,3,3.00,9,33.33,0,0,0,0,0
2205,RP Singh (INDIA),2007-2009,10,2,2,3,2*,-,3,100.00,0,0,0,0,0
2206,RJW Topley (ENG),2015-2022,10,3,3,3,2*,-,4,75.00,0,0,0,0,0
2207,R Ulutuna (TKY),2019-2019,4,4,0,3,1,0.75,16,18.75,0,0,1,0,0
2208,S Vijay Unni (MAL),2022-2022,2,1,0,3,3,3.00,3,100.00,0,0,0,0,0
2209,Zahid Hussain (CAN),2012-2012,3,2,2,3,2*,-,8,37.50,0,0,0,0,0
2210,Zulqarnain Haider (ESP),2019-2022,8,2,0,3,3,1.50,3,100.00,0,0,1,0,0
2211,Abdullah Mahmood (DEN),2019-2019,1,1,0,2,2,2.00,2,100.00,0,0,0,0,0
2212,AG Achar (SGP),2019-2020,5,2,2,2,2*,-,2,100.00,0,0,0,0,0
2213,Adel Kolasangiani (Iran),2020-2020,1,1,1,2,2*,-,4,50.00,0,0,0,0,0
2214,N Advani (GIBR),2019-2019,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0
2215,Aftab Alam (AFG),2012-2018,12,5,3,2,1*,1.00,9,22.22,0,0,1,0,0
2216,Areeb Quadir (Fin),2019-2019,2,1,0,2,2,2.00,12,16.66,0,0,0,0,0
2217,Arshad Hayat (CZK-R),2019-2019,7,2,0,2,2,1.00,7,28.57,0,0,1,0,0
2218,C Bah (SLE),2021-2021,2,1,0,2,2,2.00,3,66.66,0,0,0,0,0
2219,AR Balla (CAM),2021-2021,2,2,1,2,2,2.00,7,28.57,0,0,0,0,0
2220,KMC Bandara (SL),2016-2016,1,1,1,2,2*,-,4,50.00,0,0,0,0,0
2221,SVE Bharathi (GER),2020-2022,17,4,1,2,2*,0.66,9,22.22,0,0,3,0,0
2222,A Bhattarai (NEPAL),2014-2014,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0
2223,LT Bichard (GUE),2020-2022,5,1,1,2,2*,-,3,66.66,0,0,0,0,0
2224,Bilal Aftab (DEN),2021-2021,3,2,1,2,1*,2.00,3,66.66,0,0,0,0,0
2225,JP Bray (IRE),2009-2009,2,2,0,2,2,1.00,17,11.76,0,0,1,0,0
2226,GB Brent (ZIM),2006-2007,3,1,0,2,2,2.00,5,40.00,0,0,0,0,0
2227,A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100.00,0,0,0,0,0
2228,S Chophel (BHU),2019-2019,1,1,1,2,2*,-,5,40.00,0,0,0,0,0
2229,H Dajc (SRB),2019-2019,2,2,1,2,2*,2.00,3,66.66,0,0,1,0,0
