,Player,TEST_Span,TEST_Matches,TEST_Innings,TEST_Not-Outs,TEST_RunsMade,TESTHighest-Score,TEST_Batting_Average,TEST_Hundereds,TEST_Fifties,TEST_Ducks
2264,LA Walcott (WI),1930-1930,1,2,1,40,24,40.00,0,0,0
2265,A Ward (ENG),1969-1976,5,6,1,40,21,8.00,0,0,4
2266,RA Austin (WI),2009-2009,2,4,0,39,19,9.75,0,0,1
2267,SV Bahutule (INDIA),2001-2001,2,4,1,39,21*,13.00,0,0,2
2268,JC Balderstone (ENG),1976-1976,2,4,0,39,35,9.75,0,0,2
2269,GK Bruk-Jackson (ZIM),1993-1993,2,4,0,39,31,9.75,0,0,1
2270,HW Chapman (SA),1914-1921,2,4,1,39,17,13.00,0,0,0
2271,TA Copeland (AUS),2011-2011,3,4,1,39,23*,13.00,0,0,0
2272,HH Francis (SA),1899-1899,2,4,0,39,29,9.75,0,0,0
2273,D Gamsy (SA),1970-1970,2,3,1,39,30*,19.50,0,0,0
2274,M Jahangir Khan (INDIA),1932-1936,4,7,0,39,13,5.57,0,0,1
2275,TK Kendall (AUS),1877-1877,2,4,1,39,17*,13.00,0,0,0
2276,Masood Anwar (PAK),1990-1990,1,2,0,39,37,19.50,0,0,0
2277,JV Saunders (AUS),1902-1908,14,23,6,39,11*,2.29,0,0,8
2278,VI Smith (SA),1947-1957,9,16,6,39,11*,3.90,0,0,4
2279,KPJ Warnaweera (SL),1986-1994,10,12,3,39,20,4.33,0,0,3
2280,JR Watkins (AUS),1973-1973,1,2,1,39,36,39.00,0,0,0
2281,GF Bissett (SA),1927-1928,4,4,2,38,23,19.00,0,0,0
2282,EH Bromley (AUS),1933-1934,2,4,0,38,26,9.50,0,0,0
2283,JA Dunning (NZ),1933-1937,4,6,1,38,19,7.60,0,0,2
2284,Elias Sunny (BAN),2011-2013,4,6,1,38,20*,7.60,0,0,2
2285,KHRK Fernando (SL),2002-2002,2,4,0,38,24,9.50,0,0,2
2286,HHH Johnson (WI),1948-1950,3,4,0,38,22,9.50,0,0,1
2287,IJ Jones (ENG),1964-1968,15,17,9,38,16,4.75,0,0,2
2288,CP McGahey (ENG),1902-1902,2,4,0,38,18,9.50,0,0,1
2289,EM Meuli (NZ),1953-1953,1,2,0,38,23,19.00,0,0,0
2290,FM Misson (AUS),1960-1961,5,5,3,38,25*,19.00,0,0,1
2291,MG Neser (AUS),2021-2021,1,2,0,38,35,19.00,0,0,0
2292,J Nyumbu (ZIM),2014-2016,3,6,1,38,14,7.60,0,0,0
2293,J Ormond (ENG),2001-2001,2,4,1,38,18,12.66,0,0,1
2294,B Reddy (INDIA),1979-1979,4,5,1,38,21,9.50,0,0,2
2295,GH Shepstone (SA),1896-1899,2,4,0,38,21,9.50,0,0,1
2296,DR Smith (ENG),1961-1962,5,5,1,38,34,9.50,0,0,2
2297,G Wijekoon (SL),2005-2005,2,3,0,38,14,12.66,0,0,0
2298,NF Williams (ENG),1990-1990,1,1,0,38,38,38.00,0,0,0
2299,LH Gay (ENG),1894-1894,1,2,0,37,33,18.50,0,0,0
2300,MJ Hilton (ENG),1950-1952,4,6,1,37,15,7.40,0,0,2
2301,WE Hollies (ENG),1935-1950,13,15,8,37,18*,5.28,0,0,4
2302,DEJ Ironside (SA),1953-1954,3,4,2,37,13,18.50,0,0,0
2303,Mohsin Kamal (PAK),1984-1994,9,11,7,37,13*,9.25,0,0,1
2304,DJ Pagon (WI),2005-2005,2,3,0,37,35,12.33,0,0,1
2305,Syed Rasel (BAN),2005-2007,6,12,4,37,19,4.62,0,0,2
2306,Usman Salahuddin (PAK),2018-2018,1,2,0,37,33,18.50,0,0,0
2307,Abu Jayed (BAN),2018-2021,13,22,8,36,8,2.57,0,0,7
2308,EW Clark (ENG),1929-1934,8,9,5,36,10,9.00,0,0,1
2309,WL Cornford (ENG),1930-1930,4,4,0,36,18,9.00,0,0,0
2310,SKL de Silva (SL),1997-1997,3,4,2,36,20*,18.00,0,0,1
2311,EM Grace (ENG),1880-1880,1,2,0,36,36,18.00,0,0,1
2312,Mohammad Ramzan (PAK),1997-1997,1,2,0,36,29,18.00,0,0,0
2313,JP Stephenson (ENG),1989-1989,1,2,0,36,25,18.00,0,0,0
2314,FA Ward (AUS),1936-1938,4,8,2,36,18,6.00,0,0,2
2315,VR Aaron (INDIA),2011-2015,9,14,5,35,9,3.88,0,0,1
2316,J Angel (AUS),1993-1995,4,7,1,35,11,5.83,0,0,2
2317,GB Brent (ZIM),1999-2001,4,6,0,35,25,5.83,0,0,3
2318,DE Hoare (AUS),1961-1961,1,2,0,35,35,17.50,0,0,1
2319,RG Holland (AUS),1984-1986,11,15,4,35,10,3.18,0,0,7
2320,NV Lindsay (SA),1921-1921,1,2,0,35,29,17.50,0,0,0
2321,EA Moseley (WI),1990-1990,2,4,0,35,26,8.75,0,0,1
2322,CAK Rajitha (SL),2018-2020,9,12,2,35,12,3.50,0,0,3
2323,PC Strydom (SA),2000-2000,2,3,0,35,30,11.66,0,0,0
2324,GE Tribe (AUS),1946-1947,3,3,1,35,25*,17.50,0,0,0
2325,VA Valentine (WI),1933-1933,2,4,1,35,19*,11.66,0,0,1
2326,J Arnold (ENG),1931-1931,1,2,0,34,34,17.00,0,0,1
2327,AR Butcher (ENG),1979-1979,1,2,0,34,20,17.00,0,0,0
2328,MG Grell (WI),1930-1930,1,2,0,34,21,17.00,0,0,0
2329,RNS Hobbs (ENG),1967-1971,7,8,3,34,15*,6.80,0,0,1
2330,AP Kuiper (SA),1992-1992,1,2,0,34,34,17.00,0,0,1
2331,M Mbangwa (ZIM),1996-2000,15,25,8,34,8,2.00,0,0,9
2332,CA Merry (WI),1933-1933,2,4,0,34,13,8.50,0,0,0
2333,Mohammad Aslam (PAK),1954-1954,1,2,0,34,18,17.00,0,0,0
2334,Mohammad Talha (PAK),2009-2014,4,5,1,34,19,8.50,0,0,1
2335,Nadeem Khan (PAK),1993-1999,2,3,1,34,25,17.00,0,0,0
2336,PJ Petherick (NZ),1976-1977,6,11,4,34,13,4.85,0,0,1
2337,JP Taylor (ENG),1993-1994,2,4,2,34,17*,17.00,0,0,1
2338,T Armitage (ENG),1877-1877,2,3,0,33,21,11.00,0,0,0
2339,AW Briscoe (SA),1935-1939,2,3,0,33,16,11.00,0,0,0
2340,Farhan Adil (PAK),2003-2003,1,2,0,33,25,16.50,0,0,0
2341,AJ Fothergill (ENG),1889-1889,2,2,0,33,32,16.50,0,0,0
2342,Israr Ali (PAK),1952-1959,4,8,1,33,10,4.71,0,0,1
2343,P Krishnamurthy (INDIA),1971-1971,5,6,0,33,20,5.50,0,0,2
2344,MJ Macaulay (SA),1965-1965,1,2,0,33,21,16.50,0,0,0
2345,Mohammad Nabi (AFG),2018-2019,3,6,0,33,24,5.50,0,0,3
2346,J Newman (NZ),1932-1933,3,4,0,33,19,8.25,0,0,0
2347,PDRL Perera (SL),1999-2002,8,9,6,33,11*,11.00,0,0,1
2348,KM Rangnekar (INDIA),1947-1948,3,6,0,33,18,5.50,0,0,2
2349,DW Richardson (ENG),1957-1957,1,1,0,33,33,33.00,0,0,0
2350,TPB Smith (ENG),1946-1947,4,5,0,33,24,6.60,0,0,0
2351,Vizianagram (INDIA),1936-1936,3,6,2,33,19*,8.25,0,0,0
2352,Bazid Khan (PAK),2005-2005,1,2,0,32,23,16.00,0,0,0
2353,NT Broom (NZ),2017-2017,2,3,0,32,20,10.66,0,0,1
2354,N Gallichan (NZ),1937-1937,1,2,0,32,30,16.00,0,0,0
2355,MEZ Ghazali (PAK),1954-1954,2,4,0,32,18,8.00,0,0,2
2356,RJ Kirtley (ENG),2003-2003,4,7,1,32,12,5.33,0,0,0
2357,Yamin Ahmadzai (AFG),2018-2021,5,9,0,32,18,3.55,0,0,3
2358,Aamer Nazir (PAK),1993-1995,6,11,6,31,11,6.20,0,0,2
2359,AG Archer (ENG),1899-1899,1,2,1,31,24*,31.00,0,0,0
2360,Arshad Khan (PAK),1997-2005,9,8,2,31,9*,5.16,0,0,1
2361,J Cranston (ENG),1890-1890,1,2,0,31,16,15.50,0,0,0
2362,GR Dickinson (NZ),1930-1932,3,5,0,31,11,6.20,0,0,0
2363,JA Flavell (ENG),1961-1964,4,6,2,31,14,7.75,0,0,0
2364,RM Harris (NZ),1959-1959,2,3,0,31,13,10.33,0,0,0
2365,RB Kerr (AUS),1985-1985,2,4,0,31,17,7.75,0,0,1
2366,R Ngarava (ZIM),2021-2021,3,6,1,31,15*,6.20,0,0,2
2367,N Puna (NZ),1966-1966,3,5,3,31,18*,15.50,0,0,0
2368,GB Studd (ENG),1882-1883,4,7,0,31,9,4.42,0,0,1
2369,S Viswanath (INDIA),1985-1985,3,5,0,31,20,6.20,0,0,2
2370,DJ White (NZ),1990-1990,2,4,0,31,18,7.75,0,0,0
2371,SW Billings (ENG),2022-2022,1,2,0,30,29,15.00,0,0,0
2372,JP Duminy (SA),1927-1929,3,6,0,30,12,5.00,0,0,1
2373,MC Frederick (WI),1954-1954,1,2,0,30,30,15.00,0,0,1
2374,CG Halse (SA),1964-1964,3,3,3,30,19*,0,0,0,0
2375,HTW Hardinge (ENG),1921-1921,1,2,0,30,25,15.00,0,0,0
2376,WK Hegg (ENG),1998-1999,2,4,0,30,15,7.50,0,0,0
2377,MDUS Jayasundera (SL),2015-2015,2,4,0,30,26,7.50,0,0,1
2378,JNT Seales (WI),2021-2022,7,11,6,30,13,6.00,0,0,2
2379,LJ Nash (AUS),1932-1937,2,2,0,30,17,15.00,0,0,0
2380,S Nazir Ali (INDIA),1932-1934,2,4,0,30,13,7.50,0,0,0
2381,ES Newson (SA),1930-1939,3,5,1,30,16,7.50,0,0,0
2382,G Onions (ENG),2009-2012,9,10,7,30,17*,10.00,0,0,3
2383,FE Rumsey (ENG),1964-1965,5,5,3,30,21*,15.00,0,0,0
2384,JW Rutherford (AUS),1956-1956,1,1,0,30,30,30.00,0,0,0
2385,RA Saggers (AUS),1948-1950,6,5,2,30,14,10.00,0,0,0
2386,M Sherwin (ENG),1887-1888,3,6,4,30,21*,15.00,0,0,1
2387,DBM Smith (AUS),1912-1912,2,3,1,30,24*,15.00,0,0,1
2388,V Yadav (INDIA),1993-1993,1,1,0,30,30,30.00,0,0,0
2389,Zahoor Elahi (PAK),1996-1996,2,3,0,30,22,10.00,0,0,0
2390,KV Andrew (ENG),1954-1963,2,4,1,29,15,9.66,0,0,0
2391,PC Charlton (AUS),1890-1890,2,4,0,29,11,7.25,0,0,0
2392,Ijaz Ahmed jnr (PAK),1995-1995,2,3,0,29,16,9.66,0,0,0
2393,Naseem Shah (PAK),2019-2022,11,14,5,29,12,3.22,0,0,3
2394,PE Palia (INDIA),1932-1936,2,4,1,29,16,9.66,0,0,0
2395,JH Parks (ENG),1937-1937,1,2,0,29,22,14.50,0,0,0
2396,IR Siddiqui (INDIA),2001-2001,1,2,1,29,24,29.00,0,0,0
2397,CEW Silverwood (ENG),1996-2002,6,7,3,29,10,7.25,0,0,2
2398,PB Truscott (NZ),1965-1965,1,2,0,29,26,14.50,0,0,0
2399,F Barratt (ENG),1929-1930,5,4,1,28,17,9.33,0,0,0
2400,WE Bowes (ENG),1932-1946,15,11,5,28,10*,4.66,0,0,2
2401,CAR Duckworth (SA),1957-1957,2,4,0,28,13,7.00,0,0,0
2402,FAW Freer (AUS),1946-1946,1,1,1,28,28*,0,0,0,0
2403,SR Gillespie (NZ),1986-1986,1,1,0,28,28,28.00,0,0,0
2404,BP Gupte (INDIA),1961-1965,3,3,2,28,17*,28.00,0,0,0
2405,JR Hammond (AUS),1973-1973,5,5,2,28,19,9.33,0,0,1
2406,MC Ilott (ENG),1993-1995,5,6,2,28,15,7.00,0,0,0
2407,RJ Kennedy (NZ),1996-1996,4,5,1,28,22,7.00,0,0,2
2408,Liaqat Ali (PAK),1975-1978,5,7,3,28,12,7.00,0,0,1
2409,CN McCarthy (SA),1948-1951,15,24,15,28,5,3.11,0,0,6
2410,JN Maguire (AUS),1983-1984,3,5,1,28,15*,7.00,0,0,2
2411,Mohammad Irfan (PAK),2013-2013,4,7,2,28,14,5.60,0,0,2
2412,S Moseley (WI),2021-2021,2,4,0,28,12,7.00,0,0,0
2413,RJ Nicol (NZ),2012-2012,2,4,0,28,19,7.00,0,0,0
2414,AT Roberts (WI),1956-1956,1,2,0,28,28,14.00,0,0,1
2415,J Shuter (ENG),1888-1888,1,1,0,28,28,28.00,0,0,0
2416,GB Stevenson (ENG),1980-1981,2,2,1,28,27*,28.00,0,0,0
2417,R Vijay Bharadwaj (INDIA),1999-2000,3,3,0,28,22,9.33,0,0,1
2418,MD Wettimuny (SL),1983-1983,2,4,0,28,17,7.00,0,0,1
2419,JA Young (ENG),1947-1949,8,10,5,28,10*,5.60,0,0,3
2420,GI Allott (NZ),1996-1999,10,15,7,27,8*,3.37,0,0,4
2421,TS Chisoro (ZIM),2017-2021,3,5,0,27,9,5.40,0,0,1
2422,RMH Cottam (ENG),1969-1973,4,5,1,27,13,6.75,0,0,0
2423,LV Garrick (WI),2001-2001,1,2,0,27,27,13.50,0,0,1
2424,RK Kleinveldt (SA),2012-2013,4,5,2,27,17*,9.00,0,0,2
2425,J Lewis (ENG),2006-2006,1,2,0,27,20,13.50,0,0,0
2426,NJ Maddinson (AUS),2016-2016,3,4,0,27,22,6.75,0,0,1
2427,RR Singh (INDIA),1998-1998,1,2,0,27,15,13.50,0,0,0
2428,EA van der Merwe (SA),1929-1936,2,4,1,27,19,9.00,0,0,1
2429,AJ Woodcock (AUS),1974-1974,1,1,0,27,27,27.00,0,0,0
2430,RA Young (ENG),1907-1908,2,4,0,27,13,6.75,0,0,1
2431,Atiq-uz-Zaman (PAK),2000-2000,1,2,0,26,25,13.00,0,0,0
2432,IW Callen (AUS),1978-1978,1,2,2,26,22*,0,0,0,0
2433,TW Cartwright (ENG),1964-1965,5,7,2,26,9,5.20,0,0,2
2434,IA Greig (ENG),1982-1982,2,4,0,26,14,6.50,0,0,0
2435,A Habib (ENG),1999-1999,2,3,0,26,19,8.66,0,0,0
2436,F Kuys (SA),1899-1899,1,2,0,26,26,13.00,0,0,1
2437,PG McShane (AUS),1885-1888,3,6,1,26,12*,5.20,0,0,3
2438,JW Martin (ENG),1947-1947,1,2,0,26,26,13.00,0,0,1
2439,W Newham (ENG),1888-1888,1,2,0,26,17,13.00,0,0,0
2440,JE Pothecary (SA),1960-1960,3,4,0,26,12,6.50,0,0,0
2441,K Rai Singh (INDIA),1948-1948,1,2,0,26,24,13.00,0,0,0
2442,RR Ramdass (WI),2005-2005,1,2,0,26,23,13.00,0,0,0
2443,GA Rowe (SA),1896-1902,5,9,3,26,13*,4.33,0,0,3
2444,GC Viljoen (SA),2016-2016,1,2,1,26,20*,26.00,0,0,0
2445,CH Vintcent (SA),1889-1892,3,6,0,26,9,4.33,0,0,1
2446,Atif Rauf (PAK),1994-1994,1,2,0,25,16,12.50,0,0,0
2447,MP Bowden (ENG),1889-1889,2,2,0,25,25,12.50,0,0,1
2448,RG Draper (SA),1950-1950,2,3,0,25,15,8.33,0,0,0
2449,D Ganesh (INDIA),1997-1997,4,7,3,25,8,6.25,0,0,0
2450,GM Griffin (SA),1960-1960,2,4,0,25,14,6.25,0,0,1
2451,LJ Johnson (AUS),1948-1948,1,1,1,25,25*,0,0,0,0
2452,AJ McKay (NZ),2010-2010,1,2,1,25,20*,25.00,0,0,0
2453,CH Mills (SA),1892-1892,1,2,0,25,21,12.50,0,0,0
2454,Mohammad Salman (PAK),2011-2011,2,4,0,25,13,6.25,0,0,1
2455,CT Mumba (ZIM),2016-2020,3,5,2,25,11*,8.33,0,0,0
2456,TA Munton (ENG),1992-1992,2,2,1,25,25*,25.00,0,0,1
2457,JM Patel (INDIA),1955-1960,7,10,1,25,12,2.77,0,0,5
2458,RC Saxena (INDIA),1967-1967,1,2,0,25,16,12.50,0,0,0
2459,Shahid Mahmood (PAK),1962-1962,1,2,0,25,16,12.50,0,0,0
2460,IM Sinclair (NZ),1956-1956,2,4,1,25,18*,8.33,0,0,2
2461,TF Smailes (ENG),1946-1946,1,1,0,25,25,25.00,0,0,0
2462,DV Smith (ENG),1957-1957,3,4,1,25,16*,8.33,0,0,1
2463,VM Tancred (SA),1899-1899,1,2,0,25,18,12.50,0,0,0
2464,GC Tonge (WI),2009-2009,1,2,1,25,23*,25.00,0,0,0
2465,SL Watkin (ENG),1991-1993,3,5,0,25,13,5.00,0,0,1
2466,LB Williams (SA),2022-2022,2,3,0,25,13,8.33,0,0,1
2467,DD Blackie (AUS),1928-1929,3,6,3,24,11*,8.00,0,0,2
2468,SM Boland (AUS),2021-2022,3,3,1,24,10*,12.00,0,0,0
2469,BP Bracewell (NZ),1978-1985,6,12,2,24,8,2.40,0,0,5
2470,RP Burl (ZIM),2017-2021,3,5,0,24,16,4.80,0,0,3
2471,Kabir Khan (PAK),1994-1995,4,5,2,24,10,8.00,0,0,1
2472,NA Knox (ENG),1907-1907,2,4,1,24,8*,8.00,0,0,0
2473,SH Lewis (WI),2018-2018,2,4,0,24,20,6.00,0,0,2
2474,MAWR Madurasinghe (SL),1988-1992,3,6,1,24,11,4.80,0,0,1
2475,AM Miller (ENG),1896-1896,1,2,2,24,20*,0,0,0,0
2476,Mohammad Akram (PAK),1995-2001,9,15,6,24,10*,2.66,0,0,5
2477,Mohammad Naim (BAN),2022-2022,1,2,0,24,24,12.00,0,0,1
2478,F Mutizwa (ZIM),2012-2012,1,2,0,24,18,12.00,0,0,0
2479,CEL Stuart (WI),2000-2001,6,9,2,24,12*,3.42,0,0,2
2480,Sunzamul Islam (BAN),2018-2018,1,1,0,24,24,24.00,0,0,0
2481,MJ Swepson (AUS),2022-2022,2,2,1,24,15*,24.00,0,0,0
2482,Zulqarnain (PAK),1986-1986,3,4,0,24,13,6.00,0,0,0
2483,LS Baker (WI),2008-2009,4,6,4,23,17,11.50,0,0,1
2484,VA Barton (ENG),1892-1892,1,1,0,23,23,23.00,0,0,0
2485,WM Bradley (ENG),1899-1899,2,2,1,23,23*,23.00,0,0,1
2486,IP Butchart (ZIM),1995-1995,1,2,0,23,15,11.50,0,0,0
2487,PH Carlson (AUS),1979-1979,2,4,0,23,21,5.75,0,0,2
2488,FE Fisher (NZ),1953-1953,1,2,0,23,14,11.50,0,0,0
2489,RA Jones (NZ),2003-2003,1,2,0,23,16,11.50,0,0,0
2490,RC Miller (WI),1953-1953,1,1,0,23,23,23.00,0,0,0
2491,Qais Ahmad (AFG),2019-2019,1,2,0,23,14,11.50,0,0,0
2492,AW Seccull (SA),1896-1896,1,2,1,23,17*,23.00,0,0,0
2493,ML Udawatte (SL),2018-2018,2,4,0,23,19,5.75,0,0,2
2494,BA Williams (AUS),2003-2004,4,6,3,23,10*,7.66,0,0,1
2495,B Andrews (NZ),1973-1974,2,3,2,22,17,22.00,0,0,0
2496,Anwar Hossain Monir (BAN),2003-2005,3,6,3,22,13,7.33,0,0,1
2497,RA Austin (WI),1978-1978,2,2,0,22,20,11.00,0,0,0
2498,HR Butt (ENG),1896-1896,3,4,1,22,13,7.33,0,0,1
2499,HG Gaekwad (INDIA),1952-1952,1,2,0,22,14,11.00,0,0,0
2500,C Karunaratne (SL),2019-2019,1,2,0,22,22,11.00,0,0,1
2501,CKB Kulasekara (SL),2011-2011,1,2,0,22,15,11.00,0,0,0
2502,PE McIntyre (AUS),1995-1996,2,4,1,22,16,7.33,0,0,2
2503,G Noblet (AUS),1950-1953,3,4,1,22,13*,7.33,0,0,1
2504,CH Palmer (ENG),1954-1954,1,2,0,22,22,11.00,0,0,1
2505,WN Phillips (AUS),1992-1992,1,2,0,22,14,11.00,0,0,0
2506,D Pretorius (SA),2002-2003,4,4,1,22,9,7.33,0,0,1
2507,DA Renneberg (AUS),1966-1968,8,13,7,22,9,3.66,0,0,3
2508,SV Samuelson (SA),1910-1910,1,2,0,22,15,11.00,0,0,0
2509,Tareq Aziz (BAN),2004-2004,3,6,4,22,10*,11.00,0,0,2
2510,AL Thomson (AUS),1970-1971,4,5,4,22,12*,22.00,0,0,1
2511,RGCE Wijesuriya (SL),1982-1985,4,7,2,22,8,4.40,0,0,2
2512,W Bell (NZ),1954-1954,2,3,3,21,21*,0,0,0,0
2513,MI Black (WI),2000-2002,6,11,3,21,6,2.62,0,0,4
2514,W Brearley (ENG),1905-1912,4,5,2,21,11*,7.00,0,0,2
2515,G Cripps (SA),1892-1892,1,2,0,21,18,10.50,0,0,0
2516,Ehsan Adil (PAK),2013-2015,3,4,0,21,12,5.25,0,0,2
2517,NR Ferreira (ZIM),2005-2005,1,2,0,21,16,10.50,0,0,0
2518,GK Glover (SA),1896-1896,1,2,1,21,18*,21.00,0,0,0
2519,JC Hill (AUS),1953-1955,3,6,3,21,8*,7.00,0,0,1
2520,CK Holder (WI),2020-2020,1,2,2,21,13*,0,0,0,0
2521,AN Hornby (ENG),1879-1884,3,6,0,21,9,3.50,0,0,1
2522,JD Lindsay (SA),1947-1947,3,5,2,21,9*,7.00,0,0,2
2523,MJ McCague (ENG),1993-1994,3,5,0,21,11,4.20,0,0,2
2524,GA Manou (AUS),2009-2009,1,2,1,21,13*,21.00,0,0,0
2525,WP Masakadza (ZIM),2018-2018,1,2,0,21,17,10.50,0,0,0
2526,T Meale (NZ),1958-1958,2,4,0,21,10,5.25,0,0,0
2527,LE Nagel (AUS),1932-1932,1,2,1,21,21*,21.00,0,0,1
2528,DJ Pattinson (ENG),2008-2008,1,2,0,21,13,10.50,0,0,0
2529,NV Radford (ENG),1986-1988,3,4,1,21,12*,7.00,0,0,1
2530,JC Reedman (AUS),1894-1894,1,2,0,21,17,10.50,0,0,0
2531,VPFA Royle (ENG),1879-1879,1,2,0,21,18,10.50,0,0,0
2532,J Trim (WI),1948-1952,4,5,1,21,12,5.25,0,0,2
2533,GL Wight (WI),1953-1953,1,1,0,21,21,21.00,0,0,0
2534,RD Woolley (AUS),1983-1984,2,2,0,21,13,10.50,0,0,0
2535,HT Davis (NZ),1994-1997,5,7,4,20,8*,6.66,0,0,0
2536,F de Wet (SA),2009-2010,2,2,0,20,20,10.00,0,0,1
2537,CJ Eady (AUS),1896-1902,2,4,1,20,10*,6.66,0,0,0
2538,I Khan (SA),2009-2009,1,1,0,20,20,20.00,0,0,0
2539,LA Markham (SA),1949-1949,1,1,0,20,20,20.00,0,0,0
2540,TB Mitchell (ENG),1933-1935,5,6,2,20,9,5.00,0,0,1
2541,Naved Latif (PAK),2002-2002,1,2,0,20,20,10.00,0,0,1
2542,SS Schultz (ENG),1879-1879,1,2,1,20,20,20.00,0,0,0
2543,T Shamsi (SA),2016-2018,2,4,3,20,18*,20.00,0,0,0
2544,SW Tait (AUS),2005-2008,3,5,2,20,8,6.66,0,0,0
2545,MF Tremlett (ENG),1948-1948,3,5,2,20,18*,6.66,0,0,2
2546,A Wharton (ENG),1949-1949,1,2,0,20,13,10.00,0,0,0
2547,HV Baumgartner (SA),1913-1913,1,2,0,19,16,9.50,0,0,0
2548,DC Cleverley (NZ),1932-1946,2,4,3,19,10*,19.00,0,0,0
2549,A Coxon (ENG),1948-1948,1,2,0,19,19,9.50,0,0,1
2550,LP Jai (INDIA),1933-1933,1,2,0,19,19,9.50,0,0,1
2551,S Jeganathan (SL),1983-1983,2,4,0,19,8,4.75,0,0,1
2552,HW Lee (ENG),1931-1931,1,2,0,19,18,9.50,0,0,0
2553,AJW McIntyre (ENG),1950-1955,3,6,0,19,7,3.16,0,0,1
2554,SV Nayak (INDIA),1982-1982,2,3,1,19,11,9.50,0,0,0
2555,AL Phehlukwayo (SA),2017-2018,4,4,2,19,9,9.50,0,0,1
2556,AJ Traicos (SA/ZIM),1970-1993,7,10,4,19,5*,3.16,0,0,2
2557,LL Tsotsobe (SA),2010-2011,5,5,2,19,8*,6.33,0,0,2
2558,AR Adams (NZ),2002-2002,1,2,0,18,11,9.00,0,0,0
2559,BB Cooper (AUS),1877-1877,1,2,0,18,15,9.00,0,0,0
2560,AJ Evans (ENG),1921-1921,1,2,0,18,14,9.00,0,0,0
2561,MJ Gopalan (INDIA),1934-1934,1,2,1,18,11*,18.00,0,0,0
2562,Gursharan Singh (INDIA),1990-1990,1,1,0,18,18,18.00,0,0,0
2563,C Heseltine (ENG),1896-1896,2,2,0,18,18,9.00,0,0,1
2564,AR McBrine (IRE),2019-2019,2,4,0,18,11,4.50,0,0,1
2565,JE McConnon (ENG),1954-1954,2,3,1,18,11,9.00,0,0,0
2566,EG McLeod (NZ),1930-1930,1,2,1,18,16,18.00,0,0,0
2567,Mohammad Hussain (PAK),1996-1998,2,3,0,18,17,6.00,0,0,1
2568,Mujeeb Ur Rahman (AFG),2018-2018,1,2,0,18,15,9.00,0,0,0
2569,RAP Nissanka (SL),2003-2003,4,5,2,18,12*,6.00,0,0,2
2570,NJ O'Brien (IRE),2018-2018,1,2,0,18,18,9.00,0,0,1
2571,JA Richardson (AUS),2019-2021,3,3,0,18,9,6.00,0,0,0
2572,Sajedul Islam (BAN),2008-2013,3,6,0,18,6,3.00,0,0,1
2573,RH Scott (NZ),1947-1947,1,1,0,18,18,18.00,0,0,0
2574,EL St Hill (WI),1930-1930,2,4,0,18,12,4.50,0,0,1
2575,AI Taylor (SA),1956-1956,1,2,0,18,12,9.00,0,0,0
2576,HH Alexander (AUS),1933-1933,1,2,1,17,17*,17.00,0,0,1
2577,RT Barber (NZ),1956-1956,1,2,0,17,12,8.50,0,0,0
2578,GD Barlow (ENG),1976-1977,3,5,1,17,7*,4.25,0,0,1
2579,GA Briant (ZIM),1993-1993,1,2,0,17,16,8.50,0,0,0
2580,D Brookes (ENG),1948-1948,1,2,0,17,10,8.50,0,0,0
2581,LS Brown (SA),1931-1932,2,3,0,17,8,5.66,0,0,0
2582,S Christopherson (ENG),1884-1884,1,1,0,17,17,17.00,0,0,0
2583,JL Cox (SA),1913-1914,3,6,1,17,12*,3.40,0,0,3
2584,DT Dewdney (WI),1955-1958,9,12,5,17,5*,2.42,0,0,3
2585,R Dhanraj (WI),1994-1996,4,4,0,17,9,4.25,0,0,0
2586,BBM Gaskin (WI),1948-1948,2,3,0,17,10,5.66,0,0,1
2587,S Guha (INDIA),1967-1969,4,7,2,17,6,3.40,0,0,1
2588,Khalid Hasan (PAK),1954-1954,1,2,1,17,10,17.00,0,0,0
2589,EZ Matambanadzo (ZIM),1996-1999,3,5,1,17,7,4.25,0,0,1
2590,N Ncube (ZIM),2011-2011,1,2,0,17,14,8.50,0,0,0
2591,Niaz Ahmed (PAK),1967-1969,2,3,3,17,16*,0,0,0,0
2592,AD Pougher (ENG),1892-1892,1,1,0,17,17,17.00,0,0,0
2593,N Reid (SA),1921-1921,1,2,0,17,11,8.50,0,0,0
2594,Sohail Tanvir (PAK),2007-2007,2,3,0,17,13,5.66,0,0,1
2595,PIC Thompson (WI),1996-1997,2,3,1,17,10*,8.50,0,0,0
2596,AGD Wickremasinghe (SL),1989-1992,3,3,1,17,13*,8.50,0,0,0
2597,M Baqa Jilani (INDIA),1936-1936,1,2,1,16,12,16.00,0,0,0
2598,DV Brennan (ENG),1951-1951,2,2,0,16,16,8.00,0,0,1
2599,LS Butler (WI),1955-1955,1,1,0,16,16,16.00,0,0,0
2600,W Carkeek (AUS),1912-1912,6,5,2,16,6*,5.33,0,0,0
2601,Imran Khan (PAK),2014-2019,10,10,3,16,6,2.28,0,0,5
2602,CK Langeveldt (SA),2005-2006,6,4,2,16,10,8.00,0,0,1
2603,JDF Larter (ENG),1962-1965,10,7,2,16,10,3.20,0,0,2
2604,James Lillywhite jnr (ENG),1877-1877,2,3,1,16,10,8.00,0,0,0
2605,BS Mudzinganyama (ZIM),2020-2020,1,1,0,16,16,16.00,0,0,0
