,Player,T20_Span,T20_Matches,T20_Innings,T20_OVERS,T20_MAIDENS,T20_RUNS_given,T20_WICKETS,T20_BESTFIGURE,T20_BOWL_AVERAGE,T20_ECONOMY,T20_SR,T20_4_WKTS,T20_5_WKTS
1922,Arslan Ahmed (PORT),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
1923,Arslan Naseem (PORT),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
1924,Asad Mahmood (SUI),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
1925,Asad Shafiq (PAK),2010-2012,10,-,-,-,-,-,-,-,-,-,-,-
1926,S Ashwathnarayana (HUN),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
1927,Asif Ali (PAK),2018-2022,39,-,-,-,-,-,-,-,-,-,-,-
1928,MS Atapattu (SL),2006-2006,2,-,-,-,-,-,-,-,-,-,-,-
1929,S Ateak (Ghana),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
1930,JJ Atkinson (HKG),2014-2020,17,-,-,-,-,-,-,-,-,-,-,-
1931,Awais Ahmed (ESP),2019-2022,18,-,-,-,-,-,-,-,-,-,-,-
1932,Awais Zia (PAK),2012-2014,5,-,-,-,-,-,-,-,-,-,-,-
1933,AJ Ayannaike (NGA),2019-2021,20,-,-,-,-,-,-,-,-,-,-,-
1934,Ayush Ummat (EST),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
1935,Azam Khan (PAK),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
1936,Azhar Andani (PORT),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
1937,Azyan Farhath (Mald),2019-2021,6,-,-,-,-,-,-,-,-,-,-,-
1938,F Baaleri (Ghana),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
1939,R Baaleri (Ghana),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
1940,SJ Baard (NAM),2019-2022,25,-,-,-,-,-,-,-,-,-,-,-
1941,Babar Azam (PAK),2016-2022,74,-,-,-,-,-,-,-,-,-,-,-
1942,Babar Hayat (HKG),2014-2017,24,-,-,-,-,-,-,-,-,-,-,-
1943,S Badrinath (INDIA),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-
1944,A Bagai (CAN),2008-2013,9,-,-,-,-,-,-,-,-,-,-,-
1945,GJ Bailey (AUS/World),2012-2017,30,-,-,-,-,-,-,-,-,-,-,-
1946,JM Bairstow (ENG),2011-2021,63,-,-,-,-,-,-,-,-,-,-,-
1947,KF Bakiweyem (Ghana),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
1948,V Balakrishnan (BOT),2019-2021,7,-,-,-,-,-,-,-,-,-,-,-
1949,A Balbirnie (IRE),2015-2022,67,-,-,-,-,-,-,-,-,-,-,-
1950,AR Balla (CAM),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
1951,CT Bancroft (AUS),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-
1952,B Banerjee (Mex),2019-2019,6,-,-,-,-,-,-,-,-,-,-,-
1953,J Bangura (SLE),2021-2021,10,-,-,-,-,-,-,-,-,-,-,-
1954,T Banton (ENG),2019-2022,14,-,-,-,-,-,-,-,-,-,-,-
1955,AB Barath (WI),2010-2011,2,-,-,-,-,-,-,-,-,-,-,-
1956,J Barker (LUX),2019-2021,13,-,-,-,-,-,-,-,-,-,-,-
1957,LJ Barker (GUE),2019-2020,10,-,-,-,-,-,-,-,-,-,-,-
1958,TC Barker (LUX),2019-2021,12,-,-,-,-,-,-,-,-,-,-,-
1959,P Baron (Arg),2019-2021,11,-,-,-,-,-,-,-,-,-,-,-
1960,MC Bascombe (WI),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-
1961,O Bascome (BMUDA),2019-2021,17,-,-,-,-,-,-,-,-,-,-,-
1962,OO Bascome (BMUDA),2008-2019,3,-,-,-,-,-,-,-,-,-,-,-
1963,TC Bastiampillai (CAN),2010-2010,2,-,-,-,-,-,-,-,-,-,-,-
1964,D Bau (PNG),2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
1965,CS Baugh (WI),2008-2012,3,-,-,-,-,-,-,-,-,-,-,-
1966,T Bavuma (SA),2019-2021,21,-,-,-,-,-,-,-,-,-,-,-
1967,EF Beard (IOM),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
1968,IR Bell (ENG),2006-2014,8,-,-,-,-,-,-,-,-,-,-,-
1969,AR Berenger (QAT),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
1970,A Bhagwat (HKG),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
1971,B Bhandari (NEPAL),2014-2021,35,-,-,-,-,-,-,-,-,-,-,-
1972,M Bhanuka (SL),2019-2021,5,-,-,-,-,-,-,-,-,-,-,-
1973,TS Bharaj (DEN),2019-2021,12,-,-,-,-,-,-,-,-,-,-,-
1974,R Bhardwaj (PORT),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
1975,RA Bhatti (CAN),2012-2012,4,-,-,-,-,-,-,-,-,-,-,-
1976,MP Biddappa (PHI),2019-2022,7,-,-,-,-,-,-,-,-,-,-,-
1977,Bilal Ahmed (SRB),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
1978,Bilal Tahir (KUW),2019-2021,11,-,-,-,-,-,-,-,-,-,-,-
1979,IS Billcliff (CAN),2010-2010,2,-,-,-,-,-,-,-,-,-,-,-
1980,SW Billings (ENG/ICC),2015-2022,37,-,-,-,-,-,-,-,-,-,-,-
1981,TR Birt (AUS),2010-2012,4,-,-,-,-,-,-,-,-,-,-,-
1982,C Bisson (JER),2019-2019,14,-,-,-,-,-,-,-,-,-,-,-
1983,AM Blignaut (ZIM),2010-2010,1,-,-,-,-,-,-,-,-,-,-,-
1984,TA Blundell (NZ),2017-2021,7,-,-,-,-,-,-,-,-,-,-,-
1985,GH Bodi (SA),2007-2007,1,-,-,-,-,-,-,-,-,-,-,-
1986,W Boshoff (SWE),2021-2021,7,-,-,-,-,-,-,-,-,-,-,-
1987,LE Bosman (SA),2006-2010,14,-,-,-,-,-,-,-,-,-,-,-
1988,MV Boucher (SA),2005-2010,25,-,-,-,-,-,-,-,-,-,-,-
1989,R Brar (CYP),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
1990,DM Bravo (WI),2010-2022,26,-,-,-,-,-,-,-,-,-,-,-
1991,JP Bray (IRE),2009-2009,2,-,-,-,-,-,-,-,-,-,-,-
1992,C Brennan (JER),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
1993,WC Broaster (Blz),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
1994,HC Brook (ENG),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-
1995,SSJ Brooks (WI),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
1996,NT Broom (NZ),2009-2017,11,-,-,-,-,-,-,-,-,-,-,-
1997,CA Brown (Blz),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
1998,S Browne (LUX),2020-2020,4,-,-,-,-,-,-,-,-,-,-,-
1999,DG Brownlie (NZ),2010-2014,5,-,-,-,-,-,-,-,-,-,-,-
2000,TC Bruce (NZ),2017-2020,17,-,-,-,-,-,-,-,-,-,-,-
2001,PL Bruno (Arg),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
2002,NB Budayair (NEPAL),2014-2014,4,-,-,-,-,-,-,-,-,-,-,-
2003,A Bulow (DEN),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2004,G Burrows (IOM),2020-2021,5,-,-,-,-,-,-,-,-,-,-,-
2005,K Burrows (Bhm),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-
2006,JC Buttler (ENG),2011-2021,88,-,-,-,-,-,-,-,-,-,-,-
2007,AF Buurman (NED),2010-2010,4,-,-,-,-,-,-,-,-,-,-,-
2008,S Byrne (MLT),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2009,P Byron (SEY),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
2010,G Caisley (),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2011,L Canessane (Fran),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
2012,FE Carava (MOZ),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
2013,MA Carberry (ENG),2014-2014,1,-,-,-,-,-,-,-,-,-,-,-
2014,AT Carey (AUS),2018-2021,38,-,-,-,-,-,-,-,-,-,-,-
2015,C Carter (HKG),2015-2017,10,-,-,-,-,-,-,-,-,-,-,-
2016,T Caruana (GIBR),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2017,D Cato (Caym),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2018,JJ Celestine (BMUDA),2008-2008,3,-,-,-,-,-,-,-,-,-,-,-
2019,RW Chakabva (ZIM),2008-2021,26,-,-,-,-,-,-,-,-,-,-,-
2020,ARA Chambers (PORT),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2021,S Chanderpaul (WI),2006-2010,22,-,-,-,-,-,-,-,-,-,-,-
2022,LD Chandimal (SL),2010-2022,68,-,-,-,-,-,-,-,-,-,-,-
2023,VD Chandra (PNM),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2024,S Chandramohan (SGP),2019-2020,15,-,-,-,-,-,-,-,-,-,-,-
2025,BB Chari (ZIM),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2026,J Charles (WI),2011-2016,34,-,-,-,-,-,-,-,-,-,-,-
2027,G Chaturvedi (MLT),2019-2021,11,-,-,-,-,-,-,-,-,-,-,-
2028,N Chejay (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2029,C Chete (MWI),2019-2021,8,-,-,-,-,-,-,-,-,-,-,-
2030,VB Chikkannaiah (GER),2019-2022,22,-,-,-,-,-,-,-,-,-,-,-
2031,P Chin (Caym),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-
2032,Chirag Suri (UAE),2018-2022,24,-,-,-,-,-,-,-,-,-,-,-
2033,M Choamba (MWI),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
2034,S Chophel (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2035,DO Christian (WI),2011-2011,2,-,-,-,-,-,-,-,-,-,-,-
2036,I Civric (SRB),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2037,GL Cloete (SA),2018-2019,2,-,-,-,-,-,-,-,-,-,-,-
2038,FRJ Coleman (SCOT),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-
2039,LA Collado (GIBR),2019-2021,9,-,-,-,-,-,-,-,-,-,-,-
2040,NG Collins (Fin),2019-2021,9,-,-,-,-,-,-,-,-,-,-,-
2041,DP Conway (NZ),2020-2021,20,-,-,-,-,-,-,-,-,-,-,-
2042,AN Cook (ENG),2007-2009,4,-,-,-,-,-,-,-,-,-,-,-
2043,BN Cooper (NED),2013-2021,58,-,-,-,-,-,-,-,-,-,-,-
2044,SJ Cotter (Samoa),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2045,CK Coventry (ZIM),2010-2015,13,-,-,-,-,-,-,-,-,-,-,-
2046,MH Cross (SCOT),2013-2021,56,-,-,-,-,-,-,-,-,-,-,-
2047,DDP D'Silva (UAE),2019-2019,10,-,-,-,-,-,-,-,-,-,-,-
2048,D Daesrath (CAN),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-
2049,DK Dahani (Iran),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-
2050,S Dalton (CZK-R),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2051,IDA Damarell (GUE),2020-2022,5,-,-,-,-,-,-,-,-,-,-,-
2052,P Danci (ROM),2019-2020,4,-,-,-,-,-,-,-,-,-,-,-
2053,Darwish Rasooli (AFG),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-
2054,RR David (CAN),2008-2008,4,-,-,-,-,-,-,-,-,-,-,-
2055,BJ Davidson (SRB),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2056,SM Davies (ENG),2009-2011,5,-,-,-,-,-,-,-,-,-,-,-
2057,N Davin (NAM),2019-2019,16,-,-,-,-,-,-,-,-,-,-,-
2058,R Davson (Bhm),2021-2022,6,-,-,-,-,-,-,-,-,-,-,-
2059,TB de Bruyn (SA),2017-2017,2,-,-,-,-,-,-,-,-,-,-,-
2060,TN de Grooth (NED),2008-2013,15,-,-,-,-,-,-,-,-,-,-,-
2061,Q de Kock (SA),2012-2021,61,-,-,-,-,-,-,-,-,-,-,-
2062,D de la Puente (Peru),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2063,SI de Saram (SL),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-
2064,IA De Silva (BUL),2020-2021,18,-,-,-,-,-,-,-,-,-,-,-
2065,Devender Singh (Ghana),2021-2021,11,-,-,-,-,-,-,-,-,-,-,-
2066,AB de Villiers (SA),2006-2017,78,-,-,-,-,-,-,-,-,-,-,-
2067,S Dhawan (INDIA),2011-2021,68,-,-,-,-,-,-,-,-,-,-,-
2068,Dhiman Ghosh (BAN),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-
2069,MS Dhoni (INDIA),2006-2019,98,-,-,-,-,-,-,-,-,-,-,-
2070,N Dickwella (SL),2016-2021,28,-,-,-,-,-,-,-,-,-,-,-
2071,V Dikov (BUL),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2072,Dipanjan Dey (SWE),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
2073,HH Dippenaar (SA),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-
2074,K Doriga (PNG),2019-2021,22,-,-,-,-,-,-,-,-,-,-,-
2075,JN Dorji (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2076,RM Dorji (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2077,U Dorji (BHU),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2078,TM Dowlin (WI),2009-2010,2,-,-,-,-,-,-,-,-,-,-,-
2079,D Doyle-Calle (ESP),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-
2080,R Dravid (INDIA),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-
2081,BM Duckett (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2082,LA Dunbar (SRB),2019-2021,6,-,-,-,-,-,-,-,-,-,-,-
2083,JSE Dunford (JER),2019-2021,23,-,-,-,-,-,-,-,-,-,-,-
2084,BR Dunk (AUS),2014-2017,5,-,-,-,-,-,-,-,-,-,-,-
2085,J Dunn (VAN),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2086,MD du Preez (NAM),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2087,E Dusingizimana (RWN),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
2088,G Dutta (Mex),2019-2019,7,-,-,-,-,-,-,-,-,-,-,-
2089,J Edness (BMUDA),2008-2008,3,-,-,-,-,-,-,-,-,-,-,-
2090,SA Edwards (NED),2018-2021,36,-,-,-,-,-,-,-,-,-,-,-
2091,L Emilio (MOZ),2019-2021,9,-,-,-,-,-,-,-,-,-,-,-
2092,C Emmott (Chile),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2093,CR Ervine (ZIM),2010-2021,34,-,-,-,-,-,-,-,-,-,-,-
2094,R Escobar (Arg),2019-2021,11,-,-,-,-,-,-,-,-,-,-,-
2095,Fahad Ali (),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2096,Faisal Javed (QAT),2019-2019,15,-,-,-,-,-,-,-,-,-,-,-
2097,Faisal Mubashir (GER),2021-2022,11,-,-,-,-,-,-,-,-,-,-,-
2098,Faizan Asif (UAE),2014-2015,6,-,-,-,-,-,-,-,-,-,-,-
2099,Faizan Mumtaz (NOR),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2100,Fayaz Mohammad (BUL),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-
2101,LB Ferbrache (GUE),2019-2022,14,-,-,-,-,-,-,-,-,-,-,-
2102,A Ferguson (Arg),2019-2021,11,-,-,-,-,-,-,-,-,-,-,-
2103,CJ Ferguson (AUS),2009-2009,3,-,-,-,-,-,-,-,-,-,-,-
2104,BOP Fernando (SL),2019-2021,7,-,-,-,-,-,-,-,-,-,-,-
2105,WIA Fernando (SL),2019-2022,32,-,-,-,-,-,-,-,-,-,-,-
2106,NJ Ferraby (JER),2019-2021,18,-,-,-,-,-,-,-,-,-,-,-
2107,KJ Ferrary (GIBR),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
2108,Fiaz Ahmed (BHR),2019-2021,10,-,-,-,-,-,-,-,-,-,-,-
2109,Fida Hussain (ITA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2110,SE Findlay (WI),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-
2111,R Flannigan (SCOT),2012-2012,4,-,-,-,-,-,-,-,-,-,-,-
2112,SP Fleming (NZ),2005-2006,5,-,-,-,-,-,-,-,-,-,-,-
2113,ADS Fletcher (WI),2008-2021,54,-,-,-,-,-,-,-,-,-,-,-
2114,BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2115,CR Foggo (BMUDA),2008-2008,3,-,-,-,-,-,-,-,-,-,-,-
2116,C Forbes (),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
2117,JS Foster (ENG),2009-2009,5,-,-,-,-,-,-,-,-,-,-,-
2118,O Fournier (CRC),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2119,TS Fray (BMUDA),2019-2019,10,-,-,-,-,-,-,-,-,-,-,-
2120,JD Freyone (GIBR),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2121,PG Fulton (NZ),2006-2012,12,-,-,-,-,-,-,-,-,-,-,-
2122,RD Gaikwad (INDIA),2021-2022,3,-,-,-,-,-,-,-,-,-,-,-
2123,S Gajjar (CZK-R),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-
2124,G Gambhir (INDIA),2007-2012,37,-,-,-,-,-,-,-,-,-,-,-
2125,AR Gandhi (KENYA),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2126,D Ganga (WI),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-
2127,A Gavde (Caym),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2128,R Gaznavi (SGP),2019-2020,5,-,-,-,-,-,-,-,-,-,-,-
2129,HS Gericke (MLT),2020-2021,12,-,-,-,-,-,-,-,-,-,-,-
2130,Gershon Yusuf (NGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2131,Ghulam Shabber (UAE),2016-2019,17,-,-,-,-,-,-,-,-,-,-,-
2132,HH Gibbs (SA),2005-2010,23,-,-,-,-,-,-,-,-,-,-,-
2133,AC Gilchrist (AUS),2005-2008,13,-,-,-,-,-,-,-,-,-,-,-
2134,O Goker (TKY),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2135,LF Goncalves (),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2136,DM Gondaria (KENYA),2013-2019,11,-,-,-,-,-,-,-,-,-,-,-
2137,M Goonetilleke (MLT),2019-2021,3,-,-,-,-,-,-,-,-,-,-,-
2138,TG Gordon (CAN),2012-2012,3,-,-,-,-,-,-,-,-,-,-,-
2139,S Goud (CZK-R),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2140,R Gowthaman (SWE),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-
2141,J Grassi (ITA),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
2142,ZE Green (NAM),2019-2021,27,-,-,-,-,-,-,-,-,-,-,-
2143,S Grover (CZK-R),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2144,R Gunasekera (CAN),2012-2013,8,-,-,-,-,-,-,-,-,-,-,-
2145,K Gupta (Chile),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2146,SP Guzman (PNM),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-
2147,BJ Haddin (AUS),2006-2014,34,-,-,-,-,-,-,-,-,-,-,-
2148,Hadisullah Tarakhel (Belg),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-
2149,Haider Ali (PAK),2020-2021,21,-,-,-,-,-,-,-,-,-,-,-
2150,A Halbhavi (LUX),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2151,AD Hales (ENG),2011-2019,60,-,-,-,-,-,-,-,-,-,-,-
2152,S Hallett (Peru),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2153,Hamed Khan (HKG),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-
2154,Hamid Hashemi (Iran),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-
2155,GM Hamilton (SCOT),2007-2010,12,-,-,-,-,-,-,-,-,-,-,-
2156,Hammad Azam (PAK),2012-2013,5,-,-,-,-,-,-,-,-,-,-,-
2157,Hamza Tariq (CAN),2013-2022,26,-,-,-,-,-,-,-,-,-,-,-
2158,PSP Handscomb (AUS),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2159,J Hansrod (),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2160,A Harikumar (BUL),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
2161,Haris Sohail (PAK),2013-2019,14,-,-,-,-,-,-,-,-,-,-,-
2162,C Hartmann (IOM),2020-2021,5,-,-,-,-,-,-,-,-,-,-,-
2163,Hashmatullah Shahidi (AFG),2013-2021,4,-,-,-,-,-,-,-,-,-,-,-
2164,Hassan Rasheed (Mald),2019-2021,12,-,-,-,-,-,-,-,-,-,-,-
2165,C Hauptfleisch (Caym),2019-2019,5,-,-,-,-,-,-,-,-,-,-,-
2166,E Haven (Bhm),2021-2022,8,-,-,-,-,-,-,-,-,-,-,-
2167,ML Hayden (AUS),2005-2007,9,-,-,-,-,-,-,-,-,-,-,-
2168,Hazratullah Zazai (AFG),2016-2022,22,-,-,-,-,-,-,-,-,-,-,-
2169,H Helva (TKY),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-
2170,DL Hemp (BMUDA),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-
2171,N Henderson (SUI),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2172,SO Hetmyer (WI),2018-2021,42,-,-,-,-,-,-,-,-,-,-,-
2173,R Heyns (LUX),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-
2174,Hilal Ahmad (CZK-R),2019-2021,15,-,-,-,-,-,-,-,-,-,-,-
2175,WW Hinds (WI),2006-2010,5,-,-,-,-,-,-,-,-,-,-,-
2176,S Hook (EST),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-
2177,SD Hope (WI),2017-2022,19,-,-,-,-,-,-,-,-,-,-,-
2178,GJ Hopkins (NZ),2007-2010,10,-,-,-,-,-,-,-,-,-,-,-
2179,JM How (NZ),2007-2008,5,-,-,-,-,-,-,-,-,-,-,-
2180,V Hristov (BUL),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2181,PJ Hughes (AUS),2014-2014,1,-,-,-,-,-,-,-,-,-,-,-
2182,Humayun Kabir (SWE),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2183,Husnain Kabeer (GER),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
2184,DP Hyatt (WI),2011-2012,5,-,-,-,-,-,-,-,-,-,-,-
2185,Ibrahim Zadran (AFG),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2186,Idrees Ul Haque (SUI),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2187,Imal Zuwak (SWE),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2188,Imam-ul-Haq (PAK),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-
2189,Imran Ali Butt (BHR),2019-2021,12,-,-,-,-,-,-,-,-,-,-,-
2190,Imran Farhat (PAK),2010-2011,7,-,-,-,-,-,-,-,-,-,-,-
2191,Imran Haider (ROM),2019-2021,4,-,-,-,-,-,-,-,-,-,-,-
2192,Imran Ismail (MOZ),2019-2019,7,-,-,-,-,-,-,-,-,-,-,-
2193,Imran Nazir (PAK),2007-2012,25,-,-,-,-,-,-,-,-,-,-,-
2194,Imrul Kayes (BAN),2010-2017,14,-,-,-,-,-,-,-,-,-,-,-
2195,JP Inglis (AUS),2022-2022,6,-,-,-,-,-,-,-,-,-,-,-
2196,CA Ingram (SA),2010-2012,9,-,-,-,-,-,-,-,-,-,-,-
2197,PJ Ingram (NZ),2010-2010,3,-,-,-,-,-,-,-,-,-,-,-
2198,Inzamam-ul-Haq (PAK),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-
2199,Iqbal Hossain (Aut),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2200,Ishan Kishan (INDIA),2021-2022,10,-,-,-,-,-,-,-,-,-,-,-
2201,Ismail Sardar (THAI),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-
2202,H Isorena (PHI),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-
2203,SS Iyer (INDIA),2017-2022,36,-,-,-,-,-,-,-,-,-,-,-
2204,HA Jackson (Fran),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2205,W Jackson (MWI),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
2206,KM Jadhav (INDIA),2015-2017,9,-,-,-,-,-,-,-,-,-,-,-
2207,V Jagannivasan (CZK-R),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-
2208,Jahurul Islam (BAN),2010-2013,3,-,-,-,-,-,-,-,-,-,-,-
2209,S Jamil (Belg),2019-2021,9,-,-,-,-,-,-,-,-,-,-,-
2210,AA Jasani (TAN),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-
2211,Javed Ahmadi (AFG),2012-2017,3,-,-,-,-,-,-,-,-,-,-,-
2212,CU Jayasinghe (SL),2009-2010,5,-,-,-,-,-,-,-,-,-,-,-
2213,J Jemison (Bhm),2022-2022,5,-,-,-,-,-,-,-,-,-,-,-
2214,JW Jenner (JER),2019-2021,23,-,-,-,-,-,-,-,-,-,-,-
2215,JS Jesani (KENYA),2007-2007,1,-,-,-,-,-,-,-,-,-,-,-
2216,K Jethi (CAN),2008-2008,5,-,-,-,-,-,-,-,-,-,-,-
2217,A Johnmary (Fran),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-
2218,Jojo Thomas (MLT),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
2219,GO Jones (ENG),2005-2006,2,-,-,-,-,-,-,-,-,-,-,-
2220,C Jonker (SA),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-
2221,S Jora (NEPAL),2019-2019,6,-,-,-,-,-,-,-,-,-,-,-
2222,HJ Jordaan (THAI),2019-2020,8,-,-,-,-,-,-,-,-,-,-,-
2223,GJ Joseph (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
2224,K Joshi (Aut),2019-2021,8,-,-,-,-,-,-,-,-,-,-,-
2225,EC Joyce (ENG/IRE),2006-2014,18,-,-,-,-,-,-,-,-,-,-,-
2226,Jubaid Ahamed (Fran),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-
2227,Junaid Siddique (BAN),2007-2012,7,-,-,-,-,-,-,-,-,-,-,-
2228,S Jyoti (CAN),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-
2229,I Kaia (ZIM),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-
2230,G Kaltongga (VAN),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
2231,Kamran Akmal (PAK),2006-2017,58,-,-,-,-,-,-,-,-,-,-,-
2232,TS Kamunhukamwe (ZIM),2020-2021,8,-,-,-,-,-,-,-,-,-,-,-
